gx,gy,gz,ax,ay,az,target
1.209312977,-3.356641221,-0.631679389,-0.713182983,0.15901123,-0.65258606,0
1.766564885,-2.295572519,0.09351145,-0.719042358,0.150466309,-0.655515747,0
1.507022901,-1.906259542,0.009541985,-0.720263062,0.155837402,-0.652097778,0
0.171145038,-2.371908397,-1.555343511,-0.717333374,0.152419434,-0.632322388,0
2.033740458,-2.226870229,-0.448473282,-0.721239624,0.156081543,-0.638914185,0
0.102442748,-2.84519084,-1.90648855,-0.72343689,0.15486084,-0.637693481,0
0.575725191,-2.265038168,-1.372137405,-0.725390015,0.15901123,-0.644285278,0
1.514656489,-3.814656489,-1.097328244,-0.714403687,0.151442871,-0.656980591,0
0.102442748,-3.112366412,-4.005725191,-0.718309937,0.161208496,-0.649900513,0
0.911603053,-2.669618321,-1.402671756,-0.71953064,0.159499512,-0.649412231,0
0.61389313,-3.761221374,-1.341603053,-0.714159546,0.151442871,-0.645994263,0
0.82,-3.043664122,-1.891221374,-0.724413452,0.153884277,-0.650632935,0
2.568091603,-2.661984733,-0.45610687,-0.720263062,0.153395996,-0.654295044,0
1.155877863,-2.356641221,-0.921755725,-0.72343689,0.151931152,-0.654050903,0
0.522290076,-2.074198473,-1.211832061,-0.722460327,0.158522949,-0.660886841,0
0.499389313,-2.203969466,-0.791984733,-0.726122437,0.15876709,-0.669675903,0
2.728396947,-2.600916031,1.185114504,-0.726854858,0.149978027,-0.64086731,0
1.942137405,-2.211603053,1.979007634,-0.720751343,0.164138184,-0.654050903,0
1.850534351,-2.089465649,-0.25,-0.706835327,0.149001465,-0.658933716,0
0.293282443,-0.98259542,-1.738549618,-0.71977478,0.173659668,-0.65649231,0
-3.950992366,-1.91389313,-3.685114504,-0.716356812,0.158522949,-0.654295044,0
-0.004427481,-2.684885496,-2.341603053,-0.722948608,0.162429199,-0.661375122,0
0.445954198,-3.058931298,-1.868320611,-0.714647827,0.149489746,-0.647214966,0
1.003206107,-2.768854962,-1.104961832,-0.741503296,0.149245605,-0.667234497,0
2.507022901,-3.539847328,0.131679389,-0.72343689,0.156569824,-0.652097778,0
1.835267176,-2.738320611,0.154580153,-0.719042358,0.15510498,-0.666990356,0
4.339083969,-2.791755725,1.139312977,-0.732958374,0.148757324,-0.660886841,0
1.903969466,-2.738320611,1.353053435,-0.722216187,0.153640137,-0.645261841,0
1.102442748,-2.356641221,-0.616412214,-0.73124939,0.154128418,-0.660154419,0
0.552824427,-2.875725191,-1.265267176,-0.730516968,0.154616699,-0.648191528,0
-0.157099237,-3.211603053,-1.509541985,-0.730272827,0.160720215,-0.669431763,0
1.758931298,-3.074198473,0.772900763,-0.714891968,0.154616699,-0.655515747,0
1.736030534,-4.074198473,0.391221374,-0.734423218,0.15119873,-0.656980591,0
3.361984733,-4.05129771,2.33778626,-0.741747437,0.155349121,-0.647214966,0
3.285648855,-3.509312977,1.299618321,-0.724413452,0.170241699,-0.663572388,0
1.308549618,-3.226870229,0.33778626,-0.730272827,0.171950684,-0.639158325,0
3.308549618,-3.005496183,1.551526718,-0.723925171,0.19001709,-0.6528302,0
2.064274809,-2.631450382,-0.585877863,-0.734667358,0.173415527,-0.639890747,0
1.155877863,-2.242137405,-0.898854962,-0.73149353,0.16291748,-0.649412231,0
1.743664122,-1.822290076,-0.654580153,-0.732470093,0.160720215,-0.638181763,0
0.797099237,-2.959694656,-2.944656489,-0.735888062,0.169265137,-0.64086731,0
0.23221374,-3.12,-2.723282443,-0.734911499,0.141921387,-0.636472778,0
0.858167939,-2.135267176,-1.547709924,-0.739550171,0.155837402,-0.642088013,0
0.247480916,-2.12,-2.784351145,-0.736132202,0.163405762,-0.638670044,0
1.316183206,-1.036030534,-0.898854962,-0.731005249,0.138747559,-0.615476685,0
3.758931298,0.46778626,-0.31870229,-0.737352905,0.179519043,-0.623289185,0
-0.263969466,-3.501679389,-2.990458015,-0.725145874,0.156325684,-0.632078247,0
1.575725191,-2.669618321,-1.051526718,-0.713671265,0.155349121,-0.640134888,0
1.339083969,-2.692519084,-0.669847328,-0.734667358,0.15876709,-0.652341919,0
2.438320611,-3.211603053,0.673664122,-0.729540405,0.150222168,-0.647214966,0
2.316183206,-2.921526718,0.803435115,-0.730761108,0.156813965,-0.64892395,0
1.659694656,-3.661984733,0.146946565,-0.73149353,0.156569824,-0.647947388,0
0.995572519,-3.524580153,-0.517175573,-0.71196228,0.159499512,-0.631345825,0
1.507022901,-3.455877863,-0.517175573,-0.741015015,0.173171387,-0.627195435,0
1.148244275,-3.219236641,-0.509541985,-0.729052124,0.166091309,-0.624265747,0
1.621526718,-2.295572519,-0.188931298,-0.733446655,0.16682373,-0.635740356,0
2.102442748,-2.25740458,-0.196564885,-0.733690796,0.164138184,-0.651365356,0
-0.027328244,-3.730687023,-0.356870229,-0.731005249,0.155349121,-0.639646606,0
2.842900763,-1.91389313,0.574427481,-0.736864624,0.160720215,-0.624754028,0
0.568091603,-2.860458015,-4.020992366,-0.728319702,0.16657959,-0.658689575,0
-1.935725191,-1.46351145,-3.830152672,-0.736376343,0.178054199,-0.643796997,0
-1.966259542,-1.150534351,-2.280534351,-0.740038452,0.15486084,-0.627927856,0
-0.470076336,-1.738320611,-1.967557252,-0.732470093,0.163894043,-0.6450177,0
0.75129771,-1.608549618,-1.120229008,-0.732958374,0.16657959,-0.654050903,0
2.415419847,-2.761221374,0.375954198,-0.735643921,0.156813965,-0.643796997,0
3.789465649,-2.98259542,1.940839695,-0.738329468,0.165603027,-0.649168091,0
3.598625954,-3.249770992,1.54389313,-0.732470093,0.161452637,-0.646238403,0
2.621526718,-2.860458015,1.078244275,-0.740526733,0.159499512,-0.66821106,0
2.453587786,-2.46351145,0.192748092,-0.736376343,0.173659668,-0.639646606,0
-0.187633588,0.025038168,-1.990458015,-0.724169312,0.171950684,-0.643552856,0
0.82,-1.39480916,-1.356870229,-0.729296265,0.170241699,-0.635252075,0
1.873435115,-1.974961832,-2.097328244,-0.732225952,0.157058105,-0.640623169,0
2.155877863,-2.974961832,-0.158396947,-0.734667358,0.158034668,-0.644529419,0
2.697862595,-2.875725191,0.185114504,-0.741991577,0.158522949,-0.639402466,0
2.361984733,-2.570381679,-0.211832061,-0.738573608,0.157546387,-0.64111145,0
1.972671756,-2.066564885,0.062977099,-0.734423218,0.159743652,-0.624998169,0
2.102442748,-2.944427481,0.238549618,-0.735643921,0.164870605,-0.639402466,0
1.636793893,-2.837557252,-1.166030534,-0.738329468,0.16657959,-0.623045044,0
-0.218167939,-2.494045802,-2.425572519,-0.734911499,0.155349121,-0.635007935,0
0.423053435,-2.318473282,-2.005725191,-0.71562439,0.161940918,-0.609373169,0
1.049007634,-1.455877863,-1.333969466,-0.735888062,0.15119873,-0.624265747,0
0.873435115,-2.623816794,-1.288167939,-0.73124939,0.155349121,-0.630369263,0
0.942137405,-2.646717557,-1.440839695,-0.731005249,0.161696777,-0.632078247,0
1.255114504,-2.761221374,-1.646946565,-0.742235718,0.161940918,-0.634031372,0
1.209312977,-2.70778626,-1.364503817,-0.735643921,0.171462402,-0.628416138,0
1.789465649,-1.84519084,-2.013358779,-0.733934937,0.154128418,-0.636228638,0
2.079541985,-2.570381679,-0.639312977,-0.736864624,0.159743652,-0.632566528,0
1.575725191,-2.303206107,-0.234732824,-0.732714233,0.136062012,-0.636472778,0
2.552824427,-2.432977099,-0.730916031,-0.729052124,0.157302246,-0.623777466,0
0.903969466,-2.066564885,-1.38740458,-0.736620483,0.155349121,-0.643064575,0
0.644427481,-1.501679389,-1.990458015,-0.736132202,0.145827637,-0.636472778,0
2.216946565,-2.226870229,-0.341603053,-0.725390015,0.153395996,-0.643308716,0
1.774198473,-2.471145038,-1.265267176,-0.735643921,0.150222168,-0.62914856,0
2.881068702,-2.234503817,-0.410305344,-0.73124939,0.157790527,-0.638914185,0
2.781832061,-1.768854962,-0.173664122,-0.73124939,0.156081543,-0.610349731,0
5.186412214,-0.265038168,1.940839695,-0.720751343,0.15901123,-0.643796997,0
6.522290076,0.025038168,2.734732824,-0.721239624,0.146560059,-0.641355591,0
5.68259542,1.567022901,-0.517175573,-0.722460327,0.146071777,-0.637937622,0
0.216946565,2.857099237,-6.11259542,-0.742479858,0.138503418,-0.680662231,0
-3.958625954,0.231145038,-6.074427481,-0.733202515,0.128493652,-0.669187622,0
-2.844122137,-0.738320611,-11.04389313,-0.725878296,0.132644043,-0.666990356,0
-9.630381679,-2.974961832,-18.46374046,-0.70805603,0.148269043,-0.685545044,0
-5.561679389,-1.486412214,-12.1278626,-0.71586853,0.084304199,-0.664793091,0
3.194045802,-3.303206107,-2.776717557,-0.737108765,0.071120605,-0.657957153,0
9.415419847,-9.234503817,2.54389313,-0.736620483,0.07307373,-0.682371216,0
15.93450382,-9.501679389,9.169847328,-0.720995483,0.051833496,-0.661619263,0
13.81236641,-4.784122137,7.971374046,-0.694140015,0.08869873,-0.682859497,0
3.384885496,-3.05129771,0.520992366,-0.715380249,0.091872559,-0.684568481,0
1.629160305,2.269312977,0.765267176,-0.719286499,0.079909668,-0.672605591,0
-4.401374046,2.528854962,6.200381679,-0.702684937,0.055007324,-0.663328247,0
-6.508244275,4.383816794,4.895038168,-0.736620483,0.096755371,-0.694578247,0
-4.462442748,3.185343511,1.979007634,-0.70414978,0.101394043,-0.667966919,0
-4.599847328,1.895267176,6.994274809,-0.740038452,0.135085449,-0.677976685,0
8.285648855,-5.547480916,14.07061069,-0.709520874,0.169020996,-0.681882935,0
9.583358779,-5.967328244,11.1240458,-0.706591187,0.16657959,-0.653562622,0
12.04900763,-7.058931298,11.61259542,-0.695604858,0.173903809,-0.667478638,0
13.76656489,-7.272671756,14.50572519,-0.696825562,0.208327637,-0.689207153,0
